nome_agente_financeiro;cnpj_cpf_cliente_mascarado;nome_cliente;porte_cliente;valor_credito;valor_garantido;valor_desembolsado;data_solicitacao_outorga;municipio_investimento;uf_investimento;municipio_sede_cliente;uf_sede_cliente;outlier_credito
BTG PACTUAL;**.*45.846/0001-**;M.A. COMERCIO DIGITAL LTDA;Micro;97722.01;78177,61;97722,01;2026-04-14;MIRASSOL;SP;MIRASSOL;SP;False
BTG PACTUAL;**.*87.844/0001-**;SEA TEXTIL LTDA;Pequena;117266.41;93813,13;117266,41;2026-04-14;INDAIAL;SC;INDAIAL;SC;False
BTG PACTUAL;**.*04.711/0001-**;M J LTDA;Micro;14999.61;11999,69;14999,61;2026-04-14;FRANCISCO MORATO;SP;FRANCISCO MORATO;SP;False
BTG PACTUAL;**.*07.697/0001-**;POUSADA VILLA BILAC LTDA;Micro;17262.08;13809,66;17262,08;2026-04-14;BLUMENAU;SC;BLUMENAU;SC;False
BTG PACTUAL;**.*16.091/0001-**;PATRICIA PET SHOP LTDA;Micro;10154.76;8123,81;10154,76;2026-04-15;CURITIBA;PR;CURITIBA;PR;False
BTG PACTUAL;**.*67.891/0001-**;JONATHAN OLIVEIRA CONSULTORIA IMOBILIARIA LTDA;Micro;11716.88;9373,5;11716,88;2026-04-15;SAO PAULO;SP;SAO PAULO;SP;False
BTG PACTUAL;**.*40.853/0001-**;GOIVA ARQUITETURA LTDA;Pequena;42962.22;34369,78;42962,22;2026-04-15;SAO PAULO;SP;SAO PAULO;SP;False
BTG PACTUAL;**.*69.176/0001-**;J. P. CONSTRUCOES LTDA;Pequena;26624.2;21299,36;26624,2;2026-04-15;CUIABA;MT;CUIABA;MT;False
BTG PACTUAL;**.*15.757/0001-**;PAPILIO GIFTS COMERCIO LTDA;Micro;8592.64;6874,11;8592,64;2026-04-16;CURITIBA;PR;CURITIBA;PR;False
BTG PACTUAL;**.*47.568/0001-**;SILVIO FELIX MEDEIROS FILHO LTDA;Micro;10154.76;8123,81;10154,76;2026-04-16;PASSO FUNDO;RS;PASSO FUNDO;RS;False
BTG PACTUAL;**.*29.560/0001-**;PARA NORTE EMPREENDIMENTOS LTDA;Micro;22652.7;18122,16;22652,7;2026-04-16;TUCURUI;PA;TUCURUI;PA;False
BTG PACTUAL;**.*84.839/0001-**;G&G AUTOMOVEIS NOVOS E USADOS LTDA;Micro;7422.0;5937,6;7422,0;2026-04-16;TAUBATE;SP;TAUBATE;SP;False
BTG PACTUAL;**.*67.813/0001-**;AJMG TRANSPORTES LTDA;Micro;93737.0;74989,6;93737,0;2026-04-16;PORTO ALEGRE;RS;PORTO ALEGRE;RS;False
BTG PACTUAL;**.*56.985/0001-**;SCANMED EQUIPAMENTOS MEDICOS LTDA;Pequena;59388.0;47510,4;59388,0;2026-04-16;RIO DE JANEIRO;RJ;RIO DE JANEIRO;RJ;False
BTG PACTUAL;**.*21.734/0001-**;GARAGE T5 COMERCIO LTDA;Micro;13279.0;10623,2;13279,0;2026-04-16;CURITIBA;PR;CURITIBA;PR;False
BTG PACTUAL;**.*12.596/0001-**;ALVES CLIMATIZACAO LTDA;Pequena;7868.97;6295,18;7868,97;2026-04-17;TAILANDIA;PA;TAILANDIA;PA;False
BTG PACTUAL;**.*00.364/0001-**;PLANET GARDEN CONCEPT LTDA;Micro;62490.68;49992,54;62490,68;2026-04-17;RIO DE JANEIRO;RJ;RIO DE JANEIRO;RJ;False
